term,canopy,d_oxygen,depth_mx,doc,ph,sand,silt,temperature,width,wk4_max_30mu,wk4_min_to_wk4_med,ln_flood_duration,ln_flood_total_days,ln_lf_days,ln_lf_min,ln_nitrate,ln_turbidity,ln_wk4_iqr,ln_wk4_max,ln_wk4_max_to_annual_med,ln_wk4_max_to_wk4_med,ln_wk4_max_to_wk4_med_30mu,ln_wk4_med,ln_wk4_min,ln_wk4_min_to_annual_med,sqrt_ammonia,sqrt_bluegreen_cyano,sqrt_conductivity,sqrt_diatoms,sqrt_gravel,sqrt_green_algae,sqrt_lf_drought_duration,sqrt_phosphate,sqrt_q_med_yr,sqrt_q_q25_yr,sqrt_rain,sqrt_wk4_75q_30mu,sqrt_wk4_med_30mu,sqrt_wk4_min_to_wk4_med_30mu
canopy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_oxygen,-.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
depth_mx,-.17,-.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
doc, .30,-.58,-.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ph, .05, .16, .08, .05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sand, .00, .02, .36,-.12,-.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
silt, .01,-.14,-.10, .15, .03,-.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
temperature,-.06,-.21,-.05, .16, .23,-.04,-.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
width, .03,-.07, .60, .19,-.05, .57,-.23,-.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wk4_max_30mu,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wk4_min_to_wk4_med,-.16, .07,-.07,-.30, .02,-.05,-.12,-.21,-.09,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ln_flood_duration, .02,-.15, .07,-.49, .23, .16,-.14, .21, .02,NaN,-.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ln_flood_total_days, .00,-.01, .07,-.58, .12,-.02, .01, .00,-.09,NaN,-.01, .73,,,,,,,,,,,,,,,,,,,,,,,,,,,
ln_lf_days,-.15,-.04, .07, .32,-.08, .01,-.05,-.23, .09,NaN, .56,-.26, .18,,,,,,,,,,,,,,,,,,,,,,,,,,
ln_lf_min, .09, .38, .04,-.32,-.05, .14,-.37,-.01, .27,NaN, .08, .03,-.25,-.63,,,,,,,,,,,,,,,,,,,,,,,,,
ln_nitrate, .25, .22,-.28,-.22,-.09,-.37, .04,-.08,-.41,NaN, .01, .11, .11,-.17, .21,,,,,,,,,,,,,,,,,,,,,,,,
ln_turbidity,-.05,-.08, .07, .14,-.22,-.05, .10, .13,-.02,NaN,-.19,-.27,-.05,-.03, .05,-.08,,,,,,,,,,,,,,,,,,,,,,,
ln_wk4_iqr,-.05, .07, .19, .00,-.07, .38,-.28, .24, .49,NaN,-.39, .38, .07,-.62, .50,-.09, .08,,,,,,,,,,,,,,,,,,,,,,
ln_wk4_max, .11, .06, .21,-.18, .00, .14,-.18, .16, .30,NaN,-.45, .53, .23,-.56, .51, .13, .10, .83,,,,,,,,,,,,,,,,,,,,,
ln_wk4_max_to_annual_med,-.01,-.09, .15,-.06,-.09,-.04, .02, .15, .10,NaN,-.39, .40, .26,-.26, .11, .03, .09, .50, .79,,,,,,,,,,,,,,,,,,,,
ln_wk4_max_to_wk4_med, .03,-.25, .20,-.02, .05,-.01, .09, .16, .08,NaN,-.29, .65, .66,-.14,-.19,-.01, .05, .30, .68, .82,,,,,,,,,,,,,,,,,,,
ln_wk4_max_to_wk4_med_30mu,-.02, .07, .13,-.19, .01,-.12, .02, .13, .09,NaN,-.42, .46, .34,-.36, .28, .13, .12, .56, .89, .89, .77,,,,,,,,,,,,,,,,,,
ln_wk4_med, .12, .34, .08,-.22,-.05, .21,-.34, .06, .33,NaN,-.33, .11,-.24,-.78, .89, .19, .09, .76, .69, .26,-.06, .44,,,,,,,,,,,,,,,,,
ln_wk4_min, .09, .38, .04,-.32,-.05, .14,-.37,-.01, .27,NaN, .08, .03,-.25,-.63,1.00, .21, .05, .50, .51, .11,-.19, .28, .89,,,,,,,,,,,,,,,,
ln_wk4_min_to_annual_med,-.09, .27,-.09,-.22,-.21,-.13,-.14,-.07,-.02,NaN, .33,-.18,-.27, .23, .57, .11, .01, .12, .07, .24,-.24, .13, .33, .57,,,,,,,,,,,,,,,
sqrt_ammonia,-.02, .06, .02, .41, .06,-.14, .15,-.21, .01,NaN,-.02,-.02, .05, .11,-.10, .13,-.11, .02, .08, .14, .17, .16,-.07,-.10,-.06,,,,,,,,,,,,,,
sqrt_bluegreen_cyano,-.11, .21,-.40,-.26, .11,-.29,-.00, .03,-.44,NaN, .32,-.10,-.19, .18,-.02, .16,-.21,-.27,-.25,-.22,-.18,-.22,-.16,-.02, .10, .02,,,,,,,,,,,,,
sqrt_conductivity, .23,-.03,-.25, .19, .17,-.35, .32, .09,-.24,NaN,-.06,-.15, .06, .19,-.13,-.00,-.05,-.25,-.09,-.01, .03,-.00,-.16,-.13,-.04, .07, .18,,,,,,,,,,,,
sqrt_diatoms, .14, .25,-.43,-.33,-.07,-.18, .01,-.19,-.32,NaN, .23,-.03,-.13,-.11, .23, .31,-.22,-.14,-.05,-.15,-.18,-.12, .11, .23, .18,-.01, .67, .19,,,,,,,,,,,
sqrt_gravel, .18,-.07,-.23,-.02,-.07,-.47,-.21, .03,-.20,NaN,-.02,-.04,-.08,-.03, .28, .39,-.01,-.04, .03,-.05,-.16,-.01, .22, .28, .25,-.11, .13, .02, .12,,,,,,,,,,
sqrt_green_algae, .03, .02,-.15,-.00, .02,-.03, .07,-.02,-.12,NaN, .25,-.31,-.23, .10,-.17,-.14,-.10,-.18,-.33,-.22,-.19,-.32,-.27,-.17, .06,-.12, .21, .08, .21,-.09,,,,,,,,,
sqrt_lf_drought_duration,-.24,-.17,-.01, .24,-.01, .05, .10,-.08,-.07,NaN, .25,-.08, .23, .70,-.73,-.32,-.11,-.36,-.52,-.12, .05,-.31,-.77,-.73,-.22, .11, .07,-.02,-.18,-.24, .14,,,,,,,,
sqrt_phosphate, .38,-.05,-.28, .06,-.21,-.32,-.07,-.02,-.28,NaN, .04,-.02, .01,-.13, .09, .62,-.03,-.17, .08,-.01, .05, .05, .05, .09,-.04, .08, .13,-.03, .23, .43, .02,-.16,,,,,,,
sqrt_q_med_yr, .19, .23, .14,-.20, .12, .28,-.32, .05, .34,NaN,-.20, .28,-.02,-.62, .68, .17, .04, .54, .55,-.08,-.01, .22, .76, .68,-.21,-.07,-.12,-.13, .11, .12,-.25,-.67, .15,,,,,,
sqrt_q_q25_yr, .21, .30, .01,-.22, .06, .15,-.33, .06, .23,NaN,-.07, .25, .00,-.65, .72, .28, .01, .43, .47,-.10,-.07, .18, .72, .72,-.04,-.04,-.07,-.07, .18, .24,-.19,-.71, .25, .89,,,,,
sqrt_rain,-.16, .01, .23, .11, .08, .12,-.11, .24, .17,NaN,-.35, .26, .19,-.32, .00,-.08, .01, .47, .50, .59, .52, .55, .17, .00,-.01, .03,-.24,-.18,-.35,-.07,-.24, .03,-.17, .01,-.05,,,,
sqrt_wk4_75q_30mu, .08, .09, .30,-.40,-.06, .62,-.39, .04, .60,NaN,-.11, .25,-.05,-.44, .53,-.05, .03, .62, .47, .05, .05, .04, .59, .53,-.06,-.27,-.27,-.31, .04,-.13,-.10,-.45,-.09, .70, .61, .08,,,
sqrt_wk4_med_30mu, .23, .05, .22,-.24,-.03, .54,-.39, .01, .56,NaN,-.14, .26,-.11,-.48, .58, .02,-.02, .61, .47, .02,-.00, .01, .64, .58,-.04,-.20,-.23,-.23, .12, .07,-.12,-.51, .03, .74, .66, .00, .95,,
sqrt_wk4_min_to_wk4_med_30mu,-.06, .44,-.10,-.33,-.01,-.26,-.15,-.06,-.07,NaN, .21,-.15,-.21,-.05, .79, .23, .07, .17, .27, .12,-.23, .33, .59, .79, .76, .02, .13, .00, .22, .33,-.12,-.50, .05, .27, .36,-.01,-.07,-.05,
