Site Code,Q MED,Q MAX,Q MU,Q SD,Q RSD,Q 25,Q 75,Q WCDC,Q CDC,Q FS,Q DS,Q LFPP,Q HFPP3,Q HFPP7,Q HFPP15
SF,36.5287365,302990.295,417.4151752021397,5068.483743482465,138.7533276296722,23.219817,52.3861725,19536.288754401096,9.478080407452396,69.76831184345501,0.730487060626128,0.24657016991818753,0.15066079295154186,0.07816236626809314,0.03171806167400881
TR,5.9465385,3454.6557,49.38275750656814,154.15000961522784,25.92264552146225,0.8495054999999999,26.3346705,903.3939161506602,7.429405478666562,44.88425443169969,0.9523809523809524,0.21893814997263272,0.29447181171319103,0.20087575259989057,0.1368363437328955
AR,142.716924,829683.705,964.0237880333392,10420.362658480744,73.01420438742599,93.7287735,231.49024875,7995.971214614734,6.978327929246414,38.46500763842312,0.6564205929285295,0.24975713150225207,0.11684182637110306,0.06676675792634461,0.04133180252583238
PD,2.265348,155176.338,143.42912435693546,2159.8672185482646,953.4372725728076,0.2831685,9.3445605,1245347.9096443185,84.99580968721129,409.8841703056768,0.875,0,0.31595618318595753,0.14913554177114954,0.08552197439619902
MR,368.11905,908970.885,3759.335027705246,22753.80109970737,61.810985059608754,99.675312,870.7431374999999,1828.1157363581065,6.446931500893348,61.289401005116126,0.983201430705845,0.24975713150225207,0.20083016868321116,0.11339750949395036,0.06694338956107039
GC,58.049542499999994,370950.735,1505.9564299072242,9794.263825054795,168.72249811537787,6.229706999999999,231.77341724999997,21985.354020833183,22.062651240837237,162.270971050832,0.9951219512195122,0.24887397332862315,0.29161882893226176,0.18449174247107655,0.12655656628102094
PL,31.714872000000003,286000.185,1415.764724319085,9463.931407651922,298.4067351005522,11.0435715,109.303041,86992.09177557401,45.33344819646483,287.59882842025695,0.961199681981756,0.2486090258765345,0.26865671641791045,0.1840501633842621,0.13839088580764816
WM,475.72308,529525.095,4517.970885767884,18133.420321288457,38.117596315252264,124.59414,1670.69415,572.1546383668949,5.872911909177696,54.5503237198352,0.9539707035077404,0.24975713150225207,0.2733374547381436,0.16417910447761194,0.1037710854013954
EM,24.352490999999997,153194.1585,1239.299087916516,6133.559087691397,251.8657778250035,1.132674,175.56447,34207.77486483452,40.577206519399105,323.9223056328417,0.988372093023256,0.2484759539399413,0.34974034770828627,0.2527658613682547,0.18232106570331905
