lowest_taxon,2017 Q2,2017 Q4,2018 Q1,2018 Q2,2018 Q3,2019 Q1,2019 Q2,2019 Q4,2020 Q1,2020 Q3,2020 Q4
L. marginatus,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA
A. mitchilli,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA
A. monticola,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA
A. xenica,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
D. cepedianum,NA,1,1,1,1,NA,NA,NA,NA,NA,NA
I. bubalus,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1
M. beryllina,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA
P. crocro,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
P. olivaris,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
B. patronus,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA
L. parva,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA
P. nigromaculatus,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA
D. petenense,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA
G. dormitor,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
