Year Qtr,Site Code
2017 Q1,AR
2017 Q1,PD
2017 Q1,SF
2017 Q2,GC
2017 Q2,MR
2017 Q2,PL
2017 Q2,TR
2017 Q3,AR
2017 Q3,EM
2017 Q3,GC
2017 Q3,MR
2017 Q3,PD
2017 Q3,PL
2017 Q3,SF
2017 Q3,TR
2017 Q3,WM
2017 Q4,AR
2017 Q4,EM
2017 Q4,GC
2017 Q4,MR
2017 Q4,PD
2017 Q4,PL
2017 Q4,SF
2017 Q4,TR
2017 Q4,WM
2018 Q1,AR
2018 Q1,EM
2018 Q1,GC
2018 Q1,MR
2018 Q1,PD
2018 Q1,PL
2018 Q1,SF
2018 Q1,TR
2018 Q1,WM
2018 Q2,AR
2018 Q2,EM
2018 Q2,GC
2018 Q2,MR
2018 Q2,PD
2018 Q2,PL
2018 Q2,SF
2018 Q2,TR
2018 Q2,WM
2018 Q3,AR
2018 Q3,EM
2018 Q3,GC
2018 Q3,MR
2018 Q3,PD
2018 Q3,PL
2018 Q3,SF
2018 Q3,TR
2018 Q3,WM
2018 Q4,AR
2018 Q4,EM
2018 Q4,GC
2018 Q4,MR
2018 Q4,PD
2018 Q4,PL
2018 Q4,SF
2018 Q4,TR
2018 Q4,WM
2019 Q1,AR
2019 Q1,EM
2019 Q1,GC
2019 Q1,MR
2019 Q1,PD
2019 Q1,PL
2019 Q1,WM
2019 Q2,SF
2019 Q2,TR
2019 Q3,AR
2019 Q4,EM
2019 Q4,MR
2019 Q4,PD
2019 Q4,PL
2019 Q4,SF
2019 Q4,TR
2019 Q4,WM
2020 Q1,AR
2020 Q1,EM
2020 Q1,GC
2020 Q1,MR
2020 Q1,PD
2020 Q1,PL
2020 Q1,SF
2020 Q1,TR
2020 Q1,WM
2020 Q2,AR
2020 Q2,EM
2020 Q2,GC
2020 Q2,MR
2020 Q2,PD
2020 Q2,PL
2020 Q2,SF
2020 Q2,TR
2020 Q2,WM
2020 Q3,AR
2020 Q3,EM
2020 Q3,GC
2020 Q3,MR
2020 Q3,PD
2020 Q3,PL
2020 Q3,SF
2020 Q3,TR
2020 Q3,WM
2020 Q4,AR
2020 Q4,EM
2020 Q4,GC
2020 Q4,MR
2020 Q4,PD
2020 Q4,PL
2020 Q4,SF
2020 Q4,TR
2020 Q4,WM
